Project-Code,Design-Group,PartNumber,Revision,Seqence,User,Porject-Dir,CAD-Part-Type,CheckIn-Start-Time,CheckIn-End-Time,CheckIn-Req-Time,CheckIn-Status,WeldSpot,Mismatch-File-Path,Qpp-PDF-file,Location,PLMType,PLM-Part-Type,WeldSpot-Tpye 
5438,68,543868900184,E,2,udm664731,543868900184_E_2_2019-11-13-06_40_04,CATProduct,6:40,7:05,0:25:00,FAIL,YES,543868900184_E_2_2019-11-13-06_40_04_mismatch.txt,543868900184_E_2_QPP_Report.pdf,PNE,TCE,A,SpecCATPart
5438,68,543868900184,E,2,udm664731,543868900184_E_2_2019-11-13-08_03_33,CATProduct,8:03,8:28,0:25:00,FAIL,YES,543868900184_E_2_2019-11-13-08_03_33_mismatch.txt,543868900184_E_2_QPP_Report.pdf,PNE,TCE,A,SpecCATPart
5438,68,543868900184,E,2,udm664731,543868900184_E_2_2019-11-13-08_41_39,CATProduct,8:41,9:03,0:22:00,SUCCESS,YES,543868900184_E_2_2019-11-13-08_41_39_mismatch.txt,543868900184_E_2_QPP_Report.pdf,PNE,TCE,A,SpecCATPart
PEPart,NA,D26546310824252,NR,1,hvk139675,D26546310824252_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-07_11_45_CATPRD,CATProduct,7:11,7:11,0:00:00,FAIL,NO,D26546310824252_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-07_11_45_CATPRD_mismatch.txt,D26546310824252_NR_1_QPP_Report.pdf,PNE,TCE,PE,NA
PEPart,NA,D26546310824252,NR,1,hvk139675,D26546310824252_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-06_53_02_CATPRD,CATProduct,6:53,7:18,0:25:00,FAIL,NO,D26546310824252_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-06_53_02_CATPRD_mismatch.txt,D26546310824252_NR_1_QPP_Report.pdf,PNE,TCE,PE,NA
PEPart,NA,D26546310824252,NR,1,hvk139675,D26546310824252_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-07_52_57_CATPRD,CATProduct,7:52,7:53,0:01:00,FAIL,NO,D26546310824252_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-07_52_57_CATPRD_mismatch.txt,D26546310824252_NR_1_QPP_Report.pdf,PNE,TCE,PE,NA
PEPart,NA,D26546310824252,NR,1,hvk139675,D26546310824252_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-07_37_55_CATPRD,CATProduct,7:37,8:03,0:26:00,FAIL,NO,D26546310824252_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-07_37_55_CATPRD_mismatch.txt,D26546310824252_NR_1_QPP_Report.pdf,PNE,TCE,PE,NA
PEPart,NA,D6548870822550,NR,1,hvk139675,D6548870822550_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-07_00_54_CATPRD,CATProduct,7:00,7:26,0:26:00,FAIL,NO,D6548870822550_NR_1_t5PeAsm_00_-_DIE_hvk139675_2019-11-13-07_00_54_CATPRD_mismatch.txt,D6548870822550_NR_1_QPP_Report.pdf,PNE,TCE,PE,NA
5425,60,542560000141,A,5,cpp915708,542560000141_A_5_2019-11-13-07_03_08,CATProduct_CATDrawing,7:03,7:28,0:25:00,FAIL,NO,542560000141_A_5_2019-11-13-07_03_08_mismatch.txt,542560000141_A_5_QPP_Report.pdf,PNE,TCE,A,NA
5425,60,542560000141,A,5,cpp915708,542560000141_A_5_2019-11-13-08_12_58,CATProduct_CATDrawing,8:12,8:39,0:27:00,FAIL,NO,542560000141_A_5_2019-11-13-08_12_58_mismatch.txt,542560000141_A_5_QPP_Report.pdf,PNE,TCE,A,NA
